epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,839.244,0.39817,1.25904,0.82635,0.84615,0.91649,0.9401,0.90602,0.3101,0.75316,0.83804,0.000191963,0.000191963,0.000191963
43,858.86,0.39015,1.21981,0.82962,0.84891,0.9246,0.94534,0.91161,0.33486,0.6963,0.84441,0.000191231,0.000191231,0.000191231
44,878.269,0.39171,1.1817,0.83139,0.8096,0.91292,0.94306,0.89714,0.34945,0.74662,0.84012,0.000190498,0.000190498,0.000190498
45,898.01,0.38726,1.19033,0.82159,0.87652,0.93864,0.95243,0.92255,0.30666,0.70075,0.83928,0.000189766,0.000189766,0.000189766
46,917.889,0.38805,1.16901,0.8237,0.86056,0.93292,0.95026,0.921,0.31738,0.66019,0.84494,0.000189033,0.000189033,0.000189033
47,937.353,0.38343,1.16685,0.82273,0.89826,0.93321,0.95324,0.92366,0.32034,0.64044,0.8408,0.0001883,0.0001883,0.0001883
48,957.423,0.37908,1.11378,0.82216,0.88929,0.93911,0.95072,0.92059,0.31183,0.64163,0.84503,0.000187568,0.000187568,0.000187568
49,977.27,0.38261,1.12273,0.82508,0.87689,0.93957,0.95386,0.9308,0.30073,0.61818,0.83811,0.000186835,0.000186835,0.000186835
50,996.774,0.37221,1.10707,0.82725,0.87009,0.9613,0.95367,0.92431,0.31828,0.62427,0.8403,0.000186103,0.000186103,0.000186103
51,1016.43,0.36589,1.07753,0.82369,0.8796,0.9566,0.95295,0.9237,0.2908,0.5872,0.84097,0.00018537,0.00018537,0.00018537
52,1036.27,0.36979,1.0449,0.82567,0.88351,0.96159,0.95488,0.93429,0.28599,0.57787,0.8364,0.000184637,0.000184637,0.000184637
53,1056.25,0.38229,1.07681,0.82509,0.88762,0.94709,0.95472,0.92713,0.3123,0.5722,0.84183,0.000183905,0.000183905,0.000183905
54,1076,0.36316,1.02599,0.81862,0.90401,0.95516,0.95649,0.93294,0.30724,0.55965,0.8382,0.000183172,0.000183172,0.000183172
55,1095.91,0.37093,1.02035,0.82092,0.88487,0.96249,0.95346,0.93213,0.28555,0.54272,0.83534,0.00018244,0.00018244,0.00018244
56,1115.98,0.35586,1.01032,0.82161,0.89078,0.99204,0.95844,0.93817,0.28527,0.54204,0.84049,0.000181707,0.000181707,0.000181707
57,1136.3,0.36103,1.0013,0.82316,0.8871,0.96696,0.9549,0.93931,0.2721,0.5408,0.84109,0.000180974,0.000180974,0.000180974
58,1155.96,0.35455,0.99054,0.82666,0.89365,0.97341,0.95513,0.92448,0.29051,0.51769,0.84069,0.000180242,0.000180242,0.000180242
59,1175.7,0.3578,0.96917,0.82273,0.89788,0.972,0.95638,0.93593,0.28484,0.50747,0.836,0.000179509,0.000179509,0.000179509
60,1195.62,0.3442,0.96152,0.8209,0.89286,0.97747,0.95444,0.93448,0.27727,0.496,0.83683,0.000178777,0.000178777,0.000178777
61,1214.94,0.35366,0.95604,0.82192,0.88758,0.97899,0.95546,0.92759,0.28668,0.4924,0.83659,0.000178044,0.000178044,0.000178044
62,1234.61,0.35229,0.95704,0.82292,0.90681,0.97504,0.95305,0.93229,0.28239,0.49254,0.83948,0.000177311,0.000177311,0.000177311
63,1254.44,0.34889,0.9337,0.8226,0.90113,0.95676,0.95318,0.91035,0.33048,0.49477,0.84069,0.000176579,0.000176579,0.000176579
64,1273.93,0.34615,0.9263,0.81673,0.88617,0.97198,0.95453,0.93434,0.26794,0.48428,0.83638,0.000175846,0.000175846,0.000175846
65,1293.46,0.35048,0.92075,0.81737,0.89214,0.98503,0.95655,0.92897,0.29858,0.46024,0.83616,0.000175114,0.000175114,0.000175114
66,1312.91,0.33614,0.90609,0.81845,0.9019,0.98092,0.95692,0.93569,0.26492,0.45021,0.83151,0.000174381,0.000174381,0.000174381
67,1332.92,0.33998,0.90835,0.81882,0.89441,0.9828,0.95494,0.92959,0.29208,0.45053,0.83318,0.000173648,0.000173648,0.000173648
68,1352.35,0.33876,0.87625,0.81696,0.90175,0.96934,0.95539,0.93571,0.28644,0.4563,0.83478,0.000172916,0.000172916,0.000172916
69,1372.08,0.33871,0.87272,0.8215,0.90402,0.96578,0.95647,0.94054,0.25347,0.44636,0.8336,0.000172183,0.000172183,0.000172183
70,1391.92,0.33052,0.89122,0.81766,0.89735,0.96911,0.95185,0.93248,0.26428,0.44138,0.83536,0.000171451,0.000171451,0.000171451
71,1411.75,0.33291,0.85391,0.81265,0.88788,0.98867,0.95473,0.93169,0.26938,0.44239,0.83719,0.000170718,0.000170718,0.000170718
72,1431.59,0.33095,0.87245,0.81529,0.88724,0.98853,0.95497,0.93748,0.2568,0.43979,0.83262,0.000169985,0.000169985,0.000169985
73,1451.42,0.32837,0.85452,0.81819,0.90626,0.97214,0.95402,0.93866,0.2677,0.43639,0.83607,0.000169253,0.000169253,0.000169253
74,1471.07,0.33186,0.86184,0.82049,0.89647,0.98412,0.95747,0.93488,0.2771,0.41806,0.83814,0.00016852,0.00016852,0.00016852
75,1490.66,0.32726,0.84321,0.816,0.89978,0.97984,0.95404,0.94175,0.25502,0.42217,0.83571,0.000167788,0.000167788,0.000167788
76,1510.09,0.32598,0.84228,0.81362,0.88987,0.99239,0.95361,0.93963,0.26007,0.41795,0.83225,0.000167055,0.000167055,0.000167055
77,1529.81,0.32053,0.8378,0.81518,0.89429,0.97878,0.95359,0.94377,0.24789,0.42888,0.83459,0.000166322,0.000166322,0.000166322
78,1549.39,0.32392,0.83743,0.81486,0.9037,0.97633,0.95034,0.93216,0.26995,0.41799,0.83394,0.00016559,0.00016559,0.00016559
79,1569.3,0.32513,0.82809,0.81674,0.89208,0.99243,0.95293,0.94354,0.24069,0.41433,0.83354,0.000164857,0.000164857,0.000164857
80,1588.93,0.32372,0.81321,0.81656,0.88945,0.98759,0.95335,0.93573,0.26124,0.40856,0.83186,0.000164125,0.000164125,0.000164125
81,1608.59,0.3175,0.82007,0.81679,0.88774,0.98804,0.95371,0.94177,0.24251,0.39982,0.83377,0.000163392,0.000163392,0.000163392
82,1628.46,0.31373,0.80501,0.82199,0.88503,0.99346,0.95285,0.94248,0.24098,0.39544,0.83324,0.000162659,0.000162659,0.000162659
83,1648.19,0.32303,0.81543,0.81775,0.89186,0.992,0.95382,0.93668,0.24968,0.39755,0.83247,0.000161927,0.000161927,0.000161927
84,1667.83,0.31068,0.78373,0.81466,0.88813,0.99215,0.95241,0.94142,0.24947,0.39573,0.83331,0.000161194,0.000161194,0.000161194
85,1687.18,0.30756,0.80638,0.82023,0.90002,0.98466,0.9539,0.93273,0.26274,0.39103,0.8342,0.000160462,0.000160462,0.000160462
86,1706.56,0.32056,0.80303,0.81498,0.8945,0.98622,0.95064,0.92962,0.25326,0.38659,0.83594,0.000159729,0.000159729,0.000159729
87,1726.35,0.30992,0.78807,0.81754,0.88909,0.99245,0.95276,0.9315,0.27261,0.39157,0.83501,0.000158996,0.000158996,0.000158996
88,1745.79,0.3062,0.77252,0.8148,0.88675,0.98047,0.9527,0.93399,0.27727,0.39763,0.83579,0.000158264,0.000158264,0.000158264
89,1765.58,0.31292,0.76184,0.81592,0.89482,0.99473,0.95603,0.94127,0.24647,0.37975,0.83323,0.000157531,0.000157531,0.000157531
90,1785.24,0.30536,0.77305,0.81541,0.89247,0.9856,0.95516,0.93902,0.25174,0.39595,0.8334,0.000156799,0.000156799,0.000156799
91,1804.79,0.30802,0.79433,0.80988,0.90384,0.97704,0.95123,0.93889,0.23569,0.37634,0.83109,0.000156066,0.000156066,0.000156066
92,1824.69,0.30718,0.78838,0.81157,0.88374,0.99491,0.95248,0.94537,0.2209,0.37233,0.83246,0.000155333,0.000155333,0.000155333
93,1844.48,0.30473,0.76686,0.81569,0.89684,0.99706,0.95261,0.94233,0.22933,0.37711,0.83481,0.000154601,0.000154601,0.000154601
94,1863.75,0.30321,0.76232,0.8166,0.89496,0.98863,0.95491,0.94402,0.24329,0.37805,0.83336,0.000153868,0.000153868,0.000153868
95,1883.6,0.30153,0.74882,0.80591,0.90019,0.99354,0.95297,0.94215,0.25725,0.38202,0.83408,0.000153136,0.000153136,0.000153136
96,1903.29,0.30292,0.75531,0.81659,0.90572,0.98685,0.95244,0.94448,0.21458,0.3841,0.83345,0.000152403,0.000152403,0.000152403
97,1923.02,0.29975,0.76584,0.81562,0.89309,0.99598,0.95547,0.94912,0.21666,0.37068,0.83046,0.00015167,0.00015167,0.00015167
98,1942.69,0.30507,0.75602,0.81424,0.89571,0.98536,0.95266,0.94145,0.22719,0.37002,0.83065,0.000150938,0.000150938,0.000150938
99,1962.34,0.30729,0.758,0.81386,0.89731,0.99074,0.95261,0.94129,0.22377,0.36704,0.83356,0.000150205,0.000150205,0.000150205
100,1981.94,0.2994,0.74185,0.81028,0.89588,0.99163,0.95352,0.9449,0.22484,0.3767,0.83127,0.000149473,0.000149473,0.000149473
101,2001.53,0.29605,0.75343,0.8149,0.89312,0.9881,0.95289,0.94599,0.20678,0.3638,0.83285,0.00014874,0.00014874,0.00014874
102,2021.42,0.29187,0.73339,0.81263,0.88779,0.99171,0.95077,0.94105,0.2204,0.3597,0.83209,0.000148007,0.000148007,0.000148007
103,2041.19,0.29181,0.7395,0.80961,0.9015,0.99179,0.95078,0.9418,0.22203,0.36594,0.83347,0.000147275,0.000147275,0.000147275
104,2060.69,0.29092,0.73776,0.81309,0.89479,0.99729,0.95524,0.94619,0.22389,0.36577,0.83298,0.000146542,0.000146542,0.000146542
105,2080.35,0.29974,0.74052,0.81645,0.89616,0.99434,0.9528,0.94423,0.22143,0.3626,0.83415,0.00014581,0.00014581,0.00014581
106,2100.1,0.29398,0.72679,0.81463,0.89211,0.99778,0.95264,0.9448,0.21751,0.3589,0.83471,0.000145077,0.000145077,0.000145077
107,2119.73,0.28501,0.73731,0.81606,0.89142,0.99348,0.95262,0.94715,0.2042,0.35673,0.83235,0.000144344,0.000144344,0.000144344
108,2139.31,0.28545,0.73736,0.81411,0.89314,0.9939,0.95355,0.94346,0.21067,0.35085,0.83151,0.000143612,0.000143612,0.000143612
109,2159.27,0.28893,0.72302,0.81075,0.89775,0.98646,0.95228,0.94049,0.22803,0.35263,0.83426,0.000142879,0.000142879,0.000142879
110,2178.83,0.28168,0.73935,0.81006,0.89372,0.98953,0.95277,0.94171,0.22922,0.36324,0.83376,0.000142147,0.000142147,0.000142147
111,2198.79,0.28132,0.73193,0.80963,0.89446,0.98694,0.95461,0.94519,0.21959,0.36407,0.83244,0.000141414,0.000141414,0.000141414
112,2218.39,0.29277,0.73565,0.80928,0.89306,0.99409,0.95089,0.94313,0.21465,0.36203,0.8337,0.000140681,0.000140681,0.000140681
113,2237.94,0.2958,0.71835,0.81345,0.90211,0.98232,0.9506,0.9421,0.21351,0.35804,0.83122,0.000139949,0.000139949,0.000139949
114,2257.7,0.28172,0.70493,0.80846,0.89684,0.98076,0.95171,0.94275,0.22915,0.36907,0.83698,0.000139216,0.000139216,0.000139216
115,2277.26,0.27956,0.71657,0.81871,0.89901,0.99579,0.95329,0.94635,0.2059,0.36258,0.83237,0.000138484,0.000138484,0.000138484
